ID,Brand,Category,Model Name,Reference No.,Price (USD),Currency,Release Date,Gender,Case Material,Case Diameter (mm),Case Thickness (mm),Dial Color,Strap Material,Strap Color,Water Resistance (m),Crystal Type,Movement Type,Power Reserve (hours),Complications,Availability,Warranty (Years),Country of Origin
20,Casio,Digital,G-Shock,CA40181,5496.29,USD,02/01/2022,Women's,Bioceramic,44.6,13.6,Gold,Silicone,Black,100,Sapphire,Digital,40,Chronograph,Out of Stock,1,Japan
21,Hamilton,Military,Khaki Field,HA41708,1052.67,USD,30/04/2021,Women's,Bronze,38.4,13.1,Red,Mesh Steel,Gold,30,Sapphire,Automatic,70,World Time,In Stock,4,USA
22,Apple,Smartwatch,Watch Series,AP61203,13681.1,USD,08/03/2023,Men's,Bronze,38.5,9.8,Black,Canvas,Black,200,Mineral,Smart,60,Date,Pre-Order,5,China
23,Garmin,Smartwatch,Fenix,GA61975,10471.18,USD,26/05/2025,Women's,Stainless Steel,37.3,7.8,Green,Rubber,Silver,30,Gorilla Glass,Digital,0,None,In Stock,4,Taiwan
24,Citizen,Eco-Drive,Promaster,CI72620,7674.11,USD,05/12/2020,Men's,Titanium,35.8,14.1,Blue,Mesh Steel,Silver,300,Sapphire,Solar Powered,70,None,Out of Stock,2,Japan
25,Daniel Wellington,Minimalist,Petite,DA14877,13199.55,USD,01/09/2021,Women's,Bronze,38.5,10.8,Gold,Canvas,Green,100,Hardlex,Quartz,70,GMT,Out of Stock,5,Sweden
26,Hamilton,Military,Khaki Field,HA77427,13117.6,USD,04/04/2023,Unisex,Brass,33.5,14.6,Blue,Silicone,Silver,300,Hardlex,Automatic,70,Chronograph,In Stock,5,USA
27,Seiko,Sports,Prospex,SE14478,7186.85,USD,06/02/2024,Men's,Titanium,42.8,9.6,White,Rubber,Silver,30,Sapphire,Quartz,70,GMT,Pre-Order,4,Japan
28,Daniel Wellington,Minimalist,Petite,DA41723,1259.83,USD,11/08/2023,Unisex,Brass,36.6,11.5,Red,Rubber,Black,300,Sapphire,Quartz,80,None,Pre-Order,5,Sweden
29,Daniel Wellington,Minimalist,Petite,DA85196,6914.33,USD,08/06/2024,Unisex,Titanium,43.8,9.9,Gold,Canvas,Blue,200,Gorilla Glass,Quartz,0,Chronograph,In Stock,1,Sweden
30,Seiko,Sports,Prospex,SE32724,9116.47,USD,05/06/2023,Men's,Brass,34.9,7,Blue,Nylon,Silver,300,Gorilla Glass,Quartz,70,Chronograph,Limited Stock,5,Japan
31,Garmin,Smartwatch,Fenix,GA61772,6544.64,USD,27/03/2021,Unisex,Bronze,33.6,12.1,Red,Rubber,Brown,100,Hardlex,Digital,70,None,Limited Stock,1,Taiwan
32,Citizen,Eco-Drive,Promaster,CI41033,12041.6,USD,19/03/2021,Women's,Aluminum,43,12.7,Gray,Nylon,Silver,300,Plastic,Solar Powered,70,None,Out of Stock,1,Japan
33,Orient,Classic,Bambino,OR86109,8974.56,USD,02/12/2020,Men's,Aluminum,39.1,13,Red,Canvas,Green,100,Plastic,Automatic,40,Chronograph,In Stock,2,Japan
34,Omega,Dress,Speedmaster,OM74909,10545.86,USD,16/06/2021,Men's,Titanium,41.3,10.6,Black,Silicone,Gold,50,Plastic,Automatic,60,None,Limited Stock,3,Switzerland
35,Swatch,Fashion,MoonSwatch,SW67084,12995.97,USD,11/01/2025,Men's,Stainless Steel,34.7,6.6,Gray,Nylon,Gold,30,Mineral,Quartz,70,World Time,Pre-Order,2,Switzerland
36,TAG Heuer,Sports,Carrera,TA42855,14789.48,USD,01/12/2024,Women's,Resin,34.6,9.3,Green,Mesh Steel,Red,200,Mineral,Automatic,0,Chronograph,In Stock,5,Switzerland
37,Citizen,Eco-Drive,Promaster,CI97862,10176.66,USD,11/05/2021,Unisex,Brass,39.2,8.9,Silver,Nylon,Red,100,Mineral,Solar Powered,80,None,Limited Stock,5,Japan
38,Fossil,Fashion,Gen 6,FO79500,8547.49,USD,22/12/2023,Unisex,Bronze,44.5,11.5,White,Nylon,Red,200,Hardlex,Smart,70,None,Pre-Order,5,USA
39,Garmin,Smartwatch,Fenix,GA18133,4912.39,USD,31/08/2024,Men's,Ceramic,34.2,7.1,Black,Mesh Steel,Blue,50,Gorilla Glass,Digital,0,GMT,Limited Stock,3,Taiwan
40,Tissot,Classic,Le Locle,TI24592,12794.19,USD,31/10/2024,Women's,Aluminum,39.2,7.7,Gray,Rubber,Brown,30,Mineral,Automatic,0,None,Out of Stock,5,Switzerland
41,Orient,Classic,Bambino,OR81611,6875.33,USD,17/05/2025,Unisex,Resin,43.1,13.2,Blue,Silicone,Gold,300,Mineral,Automatic,60,Date,Limited Stock,4,Japan
42,Citizen,Eco-Drive,Promaster,CI13923,13046.1,USD,03/06/2025,Women's,Aluminum,38.8,10.4,Blue,Silicone,Black,100,Gorilla Glass,Solar Powered,0,GMT,Out of Stock,5,Japan
43,Casio,Digital,G-Shock,CA90420,7325.02,USD,01/03/2021,Men's,Bronze,39.2,12.6,Red,Mesh Steel,Black,100,Plastic,Digital,0,World Time,In Stock,2,Japan
44,Swatch,Fashion,MoonSwatch,SW89559,9827.58,USD,01/12/2021,Women's,Titanium,39.1,7.5,Red,Rubber,Silver,30,Plastic,Quartz,40,Chronograph,Out of Stock,5,Switzerland
45,Citizen,Eco-Drive,Promaster,CI25230,12522.5,USD,01/09/2023,Unisex,Bioceramic,38.3,13.1,White,Nylon,Red,50,Mineral,Solar Powered,60,Chronograph,Pre-Order,2,Japan
46,Omega,Dress,Speedmaster,OM77160,5200.38,USD,02/08/2020,Unisex,Ceramic,37.9,12,Gray,Leather,Black,300,Mineral,Automatic,70,None,In Stock,4,Switzerland
47,Daniel Wellington,Minimalist,Petite,DA81922,3227.83,USD,24/02/2021,Men's,Brass,42.9,12.1,White,Leather,Black,30,Hardlex,Quartz,80,World Time,In Stock,3,Sweden
48,Hublot,Luxury,Big Bang,HU78673,4878.2,USD,15/08/2024,Unisex,Bioceramic,37.8,14.9,Gold,Nylon,Black,100,Gorilla Glass,Automatic,60,Moonphase,Limited Stock,3,Switzerland
49,Apple,Smartwatch,Watch Series,AP60515,3747.45,USD,12/04/2025,Unisex,Brass,43,7.1,Silver,Silicone,Brown,50,Mineral,Smart,60,World Time,Pre-Order,3,China
50,Longines,Dress,Master Collection,LO81820,14403.26,USD,09/12/2022,Unisex,Aluminum,43.8,14.1,Gray,Silicone,Gold,100,Sapphire,Automatic,40,GMT,Limited Stock,3,Switzerland
51,Rolex,Luxury,Oyster Perpetual,RO46303,13116.9,USD,14/11/2020,Women's,Brass,42.1,14.2,Black,Rubber,Blue,200,Sapphire,Automatic,70,Chronograph,Pre-Order,2,Switzerland
52,Fossil,Fashion,Gen 6,FO27234,14117.49,USD,21/09/2023,Women's,Bioceramic,39.9,9.3,White,Mesh Steel,Black,100,Mineral,Smart,60,Date,Pre-Order,1,USA
53,Timex,Casual,Weekender,TI75590,8077,USD,23/09/2023,Men's,Titanium,39.7,10.6,Gray,Rubber,Gold,200,Hardlex,Quartz,0,GMT,In Stock,1,USA
54,Casio,Digital,G-Shock,CA23829,4005.08,USD,23/11/2023,Women's,Stainless Steel,41,6.8,Gold,Rubber,Red,200,Mineral,Digital,70,World Time,In Stock,5,Japan
55,Hamilton,Military,Khaki Field,HA58164,2260.63,USD,02/09/2022,Men's,Titanium,43.9,14.4,Gold,Rubber,Silver,50,Sapphire,Automatic,60,None,In Stock,3,USA
56,Citizen,Eco-Drive,Promaster,CI40357,10407.08,USD,18/05/2023,Unisex,Brass,38.9,6.7,Blue,Leather,Brown,200,Hardlex,Solar Powered,70,Chronograph,Limited Stock,1,Japan
57,Tissot,Classic,Le Locle,TI39875,3541.06,USD,13/11/2021,Unisex,Resin,36.2,14.5,Gray,Rubber,Green,30,Hardlex,Automatic,0,Moonphase,In Stock,5,Switzerland
58,Longines,Dress,Master Collection,LO47574,8110.46,USD,08/12/2022,Men's,Bioceramic,45,14.6,Blue,Nylon,Red,300,Hardlex,Automatic,60,Date,In Stock,1,Switzerland
59,Montblanc,Luxury,1858 Geosphere,MO70303,13239.84,USD,07/08/2021,Unisex,Ceramic,39.2,11.1,Black,Mesh Steel,Silver,200,Mineral,Automatic,70,Moonphase,Out of Stock,3,Switzerland
60,TAG Heuer,Sports,Carrera,TA24425,13101.78,USD,10/05/2022,Women's,Resin,42.5,10.8,Silver,Silicone,Green,300,Sapphire,Automatic,80,Chronograph,In Stock,3,Switzerland
61,Swatch,Fashion,MoonSwatch,SW53092,581.64,USD,10/08/2021,Women's,Aluminum,45.8,7.6,Red,Silicone,Gold,200,Mineral,Quartz,40,World Time,Out of Stock,4,Switzerland
62,Omega,Dress,Speedmaster,OM60035,2534.47,USD,19/02/2024,Unisex,Resin,35.2,9.7,Gold,Mesh Steel,Blue,200,Plastic,Automatic,40,Moonphase,Pre-Order,2,Switzerland
63,Hamilton,Military,Khaki Field,HA70691,5169.68,USD,30/07/2021,Women's,Ceramic,43.4,14.9,Gray,Nylon,Brown,200,Hardlex,Automatic,40,GMT,Out of Stock,1,USA
64,Rolex,Luxury,Oyster Perpetual,RO19529,6519.39,USD,13/09/2022,Unisex,Titanium,35.6,10.3,Red,Mesh Steel,Gold,100,Plastic,Automatic,60,World Time,Out of Stock,4,Switzerland
65,Citizen,Eco-Drive,Promaster,CI66363,2330.95,USD,02/02/2022,Unisex,Resin,43.5,10.4,Silver,Nylon,Silver,50,Gorilla Glass,Solar Powered,80,Moonphase,Pre-Order,5,Japan
66,Timex,Casual,Weekender,TI15165,4905.92,USD,28/01/2024,Women's,Ceramic,35.6,13.4,Gray,Silicone,Silver,300,Plastic,Quartz,40,GMT,Pre-Order,3,USA
67,Daniel Wellington,Minimalist,Petite,DA77317,613.87,USD,30/09/2021,Men's,Brass,44.4,13.6,Blue,Canvas,Blue,300,Mineral,Quartz,70,Date,Limited Stock,5,Sweden
68,Seiko,Sports,Prospex,SE88213,9402.28,USD,16/02/2022,Women's,Bioceramic,44.9,13.3,Blue,Rubber,Black,100,Gorilla Glass,Quartz,0,None,In Stock,5,Japan
69,Fossil,Fashion,Gen 6,FO48077,12367.05,USD,09/09/2022,Women's,Titanium,43,10.3,Green,Nylon,Green,30,Gorilla Glass,Smart,80,None,In Stock,3,USA
70,Swatch,Fashion,MoonSwatch,SW85479,10228.37,USD,28/03/2023,Unisex,Ceramic,42.8,6.9,Red,Nylon,Black,300,Mineral,Quartz,40,Date,In Stock,5,Switzerland
71,Daniel Wellington,Minimalist,Petite,DA79206,361.11,USD,30/07/2020,Women's,Ceramic,38.6,8.3,Silver,Leather,Green,200,Gorilla Glass,Quartz,80,Moonphase,In Stock,4,Sweden
72,Casio,Digital,G-Shock,CA36765,3811.97,USD,04/06/2022,Unisex,Aluminum,44.1,12.7,White,Mesh Steel,Silver,50,Sapphire,Digital,0,None,In Stock,1,Japan
73,Omega,Dress,Speedmaster,OM96640,10593.83,USD,15/04/2025,Men's,Resin,44.8,11.4,Green,Leather,Green,200,Hardlex,Automatic,40,None,In Stock,4,Switzerland
74,Casio,Digital,G-Shock,CA55671,9967.53,USD,26/10/2021,Women's,Titanium,34.2,13.3,Black,Leather,Silver,300,Gorilla Glass,Digital,60,Chronograph,Pre-Order,1,Japan
75,Longines,Dress,Master Collection,LO88022,2212.65,USD,14/02/2021,Unisex,Stainless Steel,33.4,9.8,Silver,Nylon,Blue,30,Sapphire,Automatic,0,GMT,Limited Stock,2,Switzerland
76,Longines,Dress,Master Collection,LO43250,8481,USD,14/09/2020,Women's,Bronze,35.8,7.7,Blue,Silicone,Blue,100,Gorilla Glass,Automatic,60,World Time,Limited Stock,3,Switzerland
77,Daniel Wellington,Minimalist,Petite,DA77225,7122.86,USD,10/02/2025,Unisex,Brass,37.7,12.5,Silver,Silicone,Green,50,Sapphire,Quartz,60,GMT,In Stock,5,Sweden
78,Timex,Casual,Weekender,TI95947,4151.27,USD,08/07/2025,Men's,Titanium,40.1,8.8,Silver,Mesh Steel,Brown,100,Sapphire,Quartz,70,Date,Limited Stock,3,USA
79,TAG Heuer,Sports,Carrera,TA36410,2015.77,USD,17/12/2020,Men's,Stainless Steel,36.8,12.8,Gold,Nylon,Brown,30,Sapphire,Automatic,40,Chronograph,In Stock,3,Switzerland
80,Casio,Digital,G-Shock,CA30332,6146.56,USD,30/06/2025,Unisex,Titanium,42.9,12.2,Green,Nylon,Gold,30,Hardlex,Digital,40,None,Out of Stock,2,Japan
81,Citizen,Eco-Drive,Promaster,CI14156,9661.72,USD,24/08/2022,Men's,Brass,46,7.3,Gold,Silicone,Red,200,Plastic,Solar Powered,0,World Time,Out of Stock,2,Japan
82,Citizen,Eco-Drive,Promaster,CI99092,13218.56,USD,27/05/2022,Women's,Resin,44.2,9.9,Gray,Silicone,Gold,200,Gorilla Glass,Solar Powered,80,World Time,Pre-Order,2,Japan
83,Rolex,Luxury,Oyster Perpetual,RO63693,11890.21,USD,12/07/2023,Men's,Aluminum,32.4,10.1,Green,Leather,Gold,300,Hardlex,Automatic,0,Moonphase,Pre-Order,2,Switzerland
84,Tissot,Classic,Le Locle,TI14712,2217.28,USD,07/06/2024,Men's,Ceramic,36.2,13.6,Gold,Mesh Steel,Red,100,Plastic,Automatic,0,Moonphase,In Stock,3,Switzerland
85,TAG Heuer,Sports,Carrera,TA59517,14628.46,USD,21/01/2023,Women's,Resin,40,10.5,Green,Mesh Steel,Brown,300,Plastic,Automatic,0,Chronograph,In Stock,4,Switzerland
86,Rolex,Luxury,Oyster Perpetual,RO27875,11575.07,USD,24/10/2021,Men's,Ceramic,42.6,11.2,Gold,Canvas,Brown,200,Hardlex,Automatic,70,Moonphase,Pre-Order,2,Switzerland
87,Apple,Smartwatch,Watch Series,AP96228,2643.76,USD,17/04/2022,Unisex,Titanium,41,14.8,Gray,Rubber,Green,50,Mineral,Smart,80,Moonphase,Out of Stock,2,China
88,Longines,Dress,Master Collection,LO70616,3547.14,USD,08/03/2022,Women's,Bronze,36.9,6.8,Black,Canvas,Brown,300,Sapphire,Automatic,70,World Time,Pre-Order,3,Switzerland
89,Tissot,Classic,Le Locle,TI69624,7761.91,USD,28/03/2021,Women's,Bioceramic,37.2,11.4,White,Nylon,Gold,100,Plastic,Automatic,80,Moonphase,Pre-Order,5,Switzerland
90,Omega,Dress,Speedmaster,OM67325,9641.92,USD,19/06/2021,Men's,Brass,37.5,11.2,Gray,Silicone,Gold,100,Hardlex,Automatic,70,None,Limited Stock,5,Switzerland
91,Longines,Dress,Master Collection,LO97685,4467.78,USD,07/07/2022,Men's,Resin,34.4,9,Red,Leather,Black,50,Plastic,Automatic,60,World Time,In Stock,4,Switzerland
92,Montblanc,Luxury,1858 Geosphere,MO76549,8008.11,USD,24/08/2024,Women's,Brass,43.3,9.1,Green,Mesh Steel,Silver,100,Gorilla Glass,Automatic,70,None,Pre-Order,5,Switzerland
93,Orient,Classic,Bambino,OR52609,10242.51,USD,22/05/2024,Unisex,Resin,34.5,14.6,Red,Mesh Steel,Red,300,Sapphire,Automatic,80,Date,Pre-Order,4,Japan
94,Timex,Casual,Weekender,TI27378,4061.24,USD,05/08/2020,Women's,Resin,38.6,12.7,White,Nylon,Red,100,Plastic,Quartz,70,Chronograph,Pre-Order,1,USA
95,Casio,Digital,G-Shock,CA62751,13363.74,USD,24/09/2022,Unisex,Aluminum,40.7,7.4,Red,Rubber,Black,100,Hardlex,Digital,60,None,Limited Stock,5,Japan
96,Apple,Smartwatch,Watch Series,AP47483,10037.22,USD,14/01/2025,Unisex,Bronze,39.1,8.3,Black,Rubber,Red,100,Plastic,Smart,70,Date,In Stock,4,China
97,Longines,Dress,Master Collection,LO97848,1101.94,USD,18/01/2023,Women's,Ceramic,45.9,7.9,Silver,Mesh Steel,Silver,30,Plastic,Automatic,0,Chronograph,Pre-Order,5,Switzerland
98,Seiko,Sports,Prospex,SE42791,1203.19,USD,15/07/2022,Men's,Resin,36.3,14.3,Gray,Leather,Gold,100,Gorilla Glass,Quartz,40,Chronograph,Limited Stock,5,Japan
99,Garmin,Smartwatch,Fenix,GA72957,3664.65,USD,05/09/2021,Unisex,Brass,44.9,13.1,Green,Silicone,Silver,300,Hardlex,Digital,60,Moonphase,Out of Stock,4,Taiwan
100,Longines,Dress,Master Collection,LO22522,7308.48,USD,23/07/2023,Men's,Aluminum,42,13.5,Gray,Silicone,Silver,50,Mineral,Automatic,0,Date,Pre-Order,2,Switzerland
101,Montblanc,Luxury,1858 Geosphere,MO57010,7641.89,USD,14/01/2025,Unisex,Bioceramic,39.6,14.5,Blue,Nylon,Brown,200,Sapphire,Automatic,70,World Time,Pre-Order,5,Switzerland
102,Citizen,Eco-Drive,Promaster,CI31439,8148.59,USD,21/11/2023,Men's,Bronze,36.3,12,Black,Silicone,Brown,200,Plastic,Solar Powered,60,Moonphase,In Stock,5,Japan
103,Rolex,Luxury,Oyster Perpetual,RO88425,126.8,USD,25/11/2023,Men's,Bioceramic,42,12.9,Silver,Nylon,Blue,30,Mineral,Automatic,70,World Time,Limited Stock,1,Switzerland
104,Garmin,Smartwatch,Fenix,GA65898,8144.16,USD,14/05/2024,Women's,Aluminum,44.4,12.3,Red,Nylon,Gold,30,Hardlex,Digital,70,GMT,Out of Stock,3,Taiwan
105,Orient,Classic,Bambino,OR62756,3596.82,USD,05/06/2022,Women's,Aluminum,43,12.7,Blue,Leather,Black,300,Mineral,Automatic,40,Moonphase,Out of Stock,3,Japan
106,Seiko,Sports,Prospex,SE72115,9416.14,USD,30/05/2021,Unisex,Ceramic,45.1,8.8,Silver,Silicone,Black,30,Hardlex,Quartz,0,Chronograph,In Stock,1,Japan
107,Hublot,Luxury,Big Bang,HU46441,7511.15,USD,11/06/2021,Women's,Bioceramic,43.2,12.5,Red,Canvas,Blue,50,Mineral,Automatic,80,Chronograph,Out of Stock,2,Switzerland
108,Hublot,Luxury,Big Bang,HU21030,4392.26,USD,13/12/2020,Men's,Bioceramic,44.2,13.2,Gray,Leather,Blue,300,Plastic,Automatic,60,Chronograph,Out of Stock,5,Switzerland
109,Garmin,Smartwatch,Fenix,GA57917,13281.88,USD,10/09/2022,Men's,Stainless Steel,43.6,9.6,Gray,Canvas,Black,300,Plastic,Digital,80,None,Out of Stock,5,Taiwan
110,Daniel Wellington,Minimalist,Petite,DA23309,14625.47,USD,26/11/2020,Men's,Brass,42.4,13.8,Blue,Silicone,Blue,200,Gorilla Glass,Quartz,80,Date,Out of Stock,4,Sweden
111,Omega,Dress,Speedmaster,OM23035,13076.85,USD,06/01/2023,Men's,Ceramic,39.9,7,Silver,Silicone,Green,100,Mineral,Automatic,70,World Time,In Stock,5,Switzerland
112,Garmin,Smartwatch,Fenix,GA12939,13325.72,USD,22/02/2024,Unisex,Titanium,33.4,13.5,White,Leather,Gold,30,Hardlex,Digital,0,GMT,Pre-Order,2,Taiwan
113,Daniel Wellington,Minimalist,Petite,DA96783,1730.26,USD,27/01/2022,Women's,Ceramic,34.2,6.6,Silver,Silicone,Black,300,Gorilla Glass,Quartz,0,Chronograph,Pre-Order,1,Sweden
114,Swatch,Fashion,MoonSwatch,SW28731,8875.97,USD,14/05/2024,Unisex,Bioceramic,32.3,9.5,Blue,Leather,Silver,100,Mineral,Quartz,40,World Time,In Stock,3,Switzerland
115,Garmin,Smartwatch,Fenix,GA27930,1723.59,USD,05/08/2023,Unisex,Stainless Steel,38,7.1,Gold,Canvas,Silver,50,Gorilla Glass,Digital,70,Date,In Stock,3,Taiwan
116,Swatch,Fashion,MoonSwatch,SW42134,11053.24,USD,06/02/2024,Men's,Bioceramic,40.5,8,Blue,Silicone,Green,300,Gorilla Glass,Quartz,80,Chronograph,Pre-Order,3,Switzerland
117,Fossil,Fashion,Gen 6,FO81537,8779.47,USD,10/03/2025,Unisex,Titanium,37.8,9.3,Green,Mesh Steel,Silver,200,Plastic,Smart,60,Moonphase,Limited Stock,2,USA
118,Timex,Casual,Weekender,TI32870,9947.89,USD,25/02/2022,Unisex,Bioceramic,42.5,11.8,Gold,Leather,Black,300,Mineral,Quartz,60,Chronograph,Out of Stock,3,USA
119,Seiko,Sports,Prospex,SE10306,5248.79,USD,11/07/2021,Unisex,Bioceramic,38.8,7.6,Black,Canvas,Brown,30,Mineral,Quartz,80,Moonphase,Pre-Order,3,Japan
120,Orient,Classic,Bambino,OR29804,3736.27,USD,13/08/2022,Men's,Brass,33.7,9.6,Gold,Silicone,Gold,100,Plastic,Automatic,70,World Time,Limited Stock,5,Japan
121,Rolex,Luxury,Oyster Perpetual,RO51410,3411.18,USD,04/09/2023,Unisex,Stainless Steel,39.5,12.5,Green,Rubber,Black,200,Plastic,Automatic,40,World Time,Pre-Order,2,Switzerland
122,Omega,Dress,Speedmaster,OM16443,13432.29,USD,09/05/2022,Women's,Bioceramic,42.4,14.8,Silver,Silicone,Blue,50,Gorilla Glass,Automatic,70,Date,Limited Stock,1,Switzerland
123,Fossil,Fashion,Gen 6,FO14017,3838.31,USD,16/08/2023,Men's,Aluminum,37,8.8,Silver,Nylon,Black,50,Gorilla Glass,Smart,80,World Time,In Stock,2,USA
124,Timex,Casual,Weekender,TI14083,2727.26,USD,29/12/2020,Women's,Titanium,43.8,7,Blue,Leather,Silver,300,Mineral,Quartz,0,None,Limited Stock,3,USA
125,Montblanc,Luxury,1858 Geosphere,MO87234,4119.66,USD,11/09/2023,Unisex,Ceramic,42.6,7.9,Gold,Nylon,Gold,100,Gorilla Glass,Automatic,0,Moonphase,In Stock,3,Switzerland
126,Garmin,Smartwatch,Fenix,GA58572,10494.05,USD,06/10/2022,Men's,Titanium,43,8.7,Black,Canvas,Red,100,Hardlex,Digital,0,Date,Limited Stock,3,Taiwan
127,Daniel Wellington,Minimalist,Petite,DA46239,3754.07,USD,22/02/2024,Unisex,Titanium,36.6,8.2,Gray,Rubber,Green,100,Sapphire,Quartz,0,Chronograph,Pre-Order,2,Sweden
128,Swatch,Fashion,MoonSwatch,SW80124,10868.2,USD,24/04/2023,Unisex,Titanium,41.7,9.5,Gold,Leather,Blue,30,Hardlex,Quartz,70,World Time,Out of Stock,2,Switzerland
129,Montblanc,Luxury,1858 Geosphere,MO21793,10977.82,USD,06/09/2020,Unisex,Aluminum,35,10,White,Mesh Steel,Red,50,Gorilla Glass,Automatic,40,World Time,In Stock,1,Switzerland
130,Longines,Dress,Master Collection,LO17221,9707.12,USD,05/07/2021,Women's,Bronze,34.8,12.7,Red,Silicone,Gold,200,Plastic,Automatic,0,World Time,Pre-Order,2,Switzerland
131,Hamilton,Military,Khaki Field,HA33674,3473.01,USD,12/10/2020,Men's,Bioceramic,40.1,7,Gray,Nylon,Silver,30,Plastic,Automatic,80,Date,Out of Stock,5,USA
132,Hamilton,Military,Khaki Field,HA57493,4334.07,USD,08/01/2023,Unisex,Stainless Steel,36,11.6,Silver,Leather,Gold,50,Gorilla Glass,Automatic,80,Moonphase,Limited Stock,5,USA
133,Citizen,Eco-Drive,Promaster,CI94526,6203.19,USD,27/05/2022,Women's,Resin,40.3,13.4,White,Canvas,Red,50,Hardlex,Solar Powered,40,Date,Out of Stock,1,Japan
134,Longines,Dress,Master Collection,LO52444,10542.51,USD,04/08/2021,Men's,Resin,45.1,9.3,Black,Rubber,Gold,300,Sapphire,Automatic,0,Chronograph,Out of Stock,3,Switzerland
135,Daniel Wellington,Minimalist,Petite,DA95447,1004.31,USD,02/09/2021,Women's,Bronze,35.5,10.3,Red,Nylon,Red,300,Hardlex,Quartz,80,None,In Stock,5,Sweden
136,Timex,Casual,Weekender,TI87964,3906.48,USD,26/09/2022,Men's,Aluminum,32.7,10.2,Silver,Mesh Steel,Blue,100,Plastic,Quartz,70,GMT,Pre-Order,2,USA
